INST_NAME,STATE,STATE_FIPS,CC_BASIC,CONTROL,FAM_INC,SAT_AVG,ADM_RATE,UG_ENRL,AVG_FAC_SAL,RET_RATE,AVG_GRANT,MD_EARN_10,MN_EARN_10,UNEMP_RATE,GRAD_DEBT_MDN,GRAD_RATE_6,GRAD_RATE_4
University of Alaska Fairbanks,AK,2,R2,1,48958.06457,1128,0.7611,4657,9584,0.7536,0.2202,38700,45100,6.559999943,19407,0.3154,0.2041
University of Alabama at Birmingham,AL,1,R1,1,51306.67431,1220,0.9211,13186,10717,0.8303,0.3632,41200,48400,3.450000048,22500,0.5829,0.3462
University of Alabama in Huntsville,AL,1,R2,1,61096.58895,1314,0.8087,7458,9442,0.8269,0.2698,46700,52000,3.640000105,22021,0.5187,0.2195
The University of Alabama,AL,1,R1,1,91846.74962,1252,0.5906,32177,10225,0.8748,0.1802,44500,51600,3.25999999,23250,0.7188,0.5049
Auburn University,AL,1,R1,1,92148.62652,1289,0.7543,24147,10428,0.9073,0.1537,48800,56300,3.140000105,21000,0.7812,0.4991
Samford University,AL,1,R3,0,108313.9404,1228,0.8208,3524,8888,0.8861,0.1227,49900,59800,2.680000067,19304,0.7636,0.6404
University of South Alabama,AL,1,R2,1,52728.84502,1186,0.7931,10035,7239,0.7604,0.3922,37800,46800,3.900000095,25000,0.4417,0.2163
University of Arkansas at Little Rock,AR,5,R2,1,39269.29246,1099,0.7933,6328,7623,0.6855,0.36,34900,39500,3.630000114,21043,0.3945,0.195
University of Arkansas,AR,5,R1,1,86258.19241,1238,0.7747,23121,9866,0.8301,0.1998,44900,52700,3.799999952,21500,0.6553,0.4707
Arkansas State University-Main Campus,AR,5,R2,1,46692.78519,1189,0.7721,8623,6902,0.7454,0.4117,32200,36600,3.75,21000,0.4822,0.3098
University of Central Arkansas,AR,5,R3,1,51621.33825,1186,0.911,8906,7040,0.7312,0.4298,38300,42500,3.650000095,21500,0.4113,0.2268
Harding University,AR,5,R3,0,83701.9801,1222,0.7462,3953,7473,0.8355,0.2524,40900,47000,3.650000095,26000,0.6719,0.459
Arizona State University-Tempe,AZ,4,R1,1,56365.77633,1240,0.8478,42529,11451,0.8711,0.3026,47700,55500,3.150000095,20349,0.6904,0.5191
University of Arizona,AZ,4,R1,1,69476.75817,1198,0.8442,33509,11147,0.8229,0.2896,47300,56000,3.269999981,20000,0.6448,0.4655
Azusa Pacific University,CA,6,R2,0,63280.35606,1147,0.6851,5545,9160,0.8211,0.326,51100,55900,3.829999924,24500,0.6263,0.4531
Biola University,CA,6,R3,0,83761.27346,1170,0.7347,4005,9348,0.8643,0.3168,44500,50700,3.630000114,24813,0.7298,0.5536
California Institute of Technology,CA,6,R1,0,74238.77174,1566,0.0662,948,19993,0.9809,0.1415,85900,106300,3.140000105,8700,0.9202,0.8061
California State University-Fresno,CA,6,R3,1,35012.97329,1019,0.5753,21732,9393,0.8127,0.5954,44700,48500,6.599999905,15000,0.5399,0.1551
University of California-Berkeley,CA,6,R1,1,54799.68239,1448,0.1484,30845,17125,0.9705,0.2676,64700,79000,3.690000057,13750,0.914,0.7449
University of California-Davis,CA,6,R1,1,51677.66853,1292,0.4107,30698,14603,0.9242,0.3822,58200,68100,3.849999905,13000,0.8645,0.6085
University of California-Irvine,CA,6,R1,1,48922.47459,1316,0.2876,29722,15447,0.935,0.4212,58400,65800,3.74000001,15893,0.8337,0.6761
University of California-Los Angeles,CA,6,R1,1,54617.43575,1423,0.1404,31568,18392,0.9681,0.3382,60700,73200,4.070000172,15000,0.9051,0.7686
University of California-Riverside,CA,6,R1,1,48858.90877,1229,0.5057,20574,13408,0.8904,0.5386,49700,55300,4.389999866,19000,0.7453,0.5482
University of California-San Diego,CA,6,R1,1,53756.50333,1372,0.3006,30279,16373,0.9423,0.3629,59900,69600,3.650000095,16808,0.859,0.616
University of California-Santa Barbara,CA,6,R1,1,56328.70061,1360,0.322,23063,15994,0.925,0.3707,55300,62400,4.099999905,15306,0.8185,0.6811
University of California-Santa Cruz,CA,6,R1,1,61406.14323,1311,0.4737,17792,14426,0.8921,0.3725,46900,53800,3.660000086,19000,0.7447,0.4912
Chapman University,CA,6,R2,0,105779.2037,1288,0.5356,7026,11826,0.901,0.1917,54500,56600,4,21250,0.7877,0.7028
University of La Verne,CA,6,R3,0,50727.65347,1120,0.5089,5098,9264,0.8107,0.4501,49200,52700,4.559999943,25000,0.6912,0.5408
Loyola Marymount University,CA,6,R2,0,106641.7749,1321,0.4713,6557,11733,0.9055,0.1748,61300,71600,3.75,20500,0.8358,0.7565
University of the Pacific,CA,6,R3,0,67087.36056,1240,0.6348,3665,10587,0.8341,0.365,71700,84200,4.269999981,20500,0.7309,0.5045
Pepperdine University,CA,6,R3,0,102190.458,1330,0.3565,3619,12387,0.9052,0.1676,65500,77600,3.400000095,25000,0.831,0.7294
San Diego State University,CA,6,R2,1,53802.04847,1213,0.3458,30018,10903,0.8876,0.3397,51000,55900,3.930000067,15340,0.7409,0.3646
University of San Diego,CA,6,R2,0,102808.6055,1285,0.5292,5760,12284,0.9009,0.1779,60000,71100,3.25999999,23782,0.8041,0.6819
University of San Francisco,CA,6,R3,0,84137.19188,1237,0.6455,6661,12379,0.8423,0.274,62300,74000,3.220000029,23250,0.7498,0.6573
Santa Clara University,CA,6,R3,0,132762.8962,1366,0.4991,5504,12700,0.9437,0.1055,72600,85300,2.970000029,20389,0.9052,0.8401
University of Southern California,CA,6,R1,0,80335.79216,1445,0.1296,19548,14712,0.9656,0.2115,74000,88800,3.670000076,19500,0.9239,0.783
Stanford University,CA,6,R1,0,80447.9067,1497,0.0436,7083,20279,0.986,0.1606,94000,141300,3.450000048,11341,0.9438,0.7486
University of California-Merced,CA,6,R2,1,43308.85337,1123,0.6617,7881,11225,0.8103,0.6434,49000,51647,3.849999905,19000,0.6615,0.3794
University of Colorado Denver/Anschutz Medical Campus,CO,8,R1,1,52017.04837,1132,0.6363,11892,10640,0.6926,0.265,56400,71200,2.809999943,21022,0.4807,0.2179
University of Colorado Colorado Springs,CO,8,R2,1,60795.73255,1123,0.9118,10475,8322,0.6759,0.3221,43900,49300,2.869999886,21500,0.4459,0.2421
University of Colorado Boulder,CO,8,R1,1,98821.99765,1281,0.8154,29753,11684,0.8705,0.1644,50800,59700,2.730000019,19500,0.7077,0.4745
Colorado School of Mines,CO,8,R2,1,107141.6165,1383,0.4919,4906,12065,0.9241,0.1606,84900,95600,2.630000114,25000,0.8019,0.5911
Colorado State University-Fort Collins,CO,8,R1,1,85721.23465,1197,0.8387,24210,10039,0.8227,0.2318,47100,53400,2.75,20500,0.7115,0.4537
University of Denver,CO,8,R2,0,113088.0572,1300,0.5647,5791,10796,0.8734,0.1676,56500,65400,2.75999999,21333,0.7722,0.6725
University of Northern Colorado,CO,8,R3,1,67385.38634,1099,0.9075,8903,7785,0.7179,0.3001,42000,47100,2.779999971,20495,0.473,0.2802
Regis University,CO,8,R3,0,64611.69157,1160,0.6029,3926,7295,0.7953,0.2444,56400,62700,2.849999905,23500,0.6912,0.5165
University of Bridgeport,CT,9,R3,0,44785.06702,997,0.5724,3415,8597,0.6906,0.473,43100,47100,4.809999943,25750,0.4162,0.3029
University of Connecticut,CT,9,R1,1,88097.12168,1318,0.4877,18830,11874,0.9335,0.2194,58400,66000,3.059999943,21500,0.8455,0.7264
University of Hartford,CT,9,R3,0,85328.63362,1160,0.7136,4750,7811,0.7482,0.2873,47800,51700,3.160000086,27000,0.5798,0.4875
Quinnipiac University,CT,9,R3,0,123919.7218,1190,0.7247,7371,11079,0.8632,0.1598,63300,67700,2.569999933,26899,0.7708,0.7253
University of Saint Joseph,CT,9,R3,0,60575.07692,1120,0.7235,865,8620,0.7977,0.3914,52800,52900,3.49000001,27000,0.6306,0.465
Yale University,CT,9,R1,0,80258.1327,1517,0.0635,5963,19093,0.9919,0.158,83200,124400,3.529999971,13000,0.966,0.8767
American University,DC,11,R2,0,105098.7364,1320,0.3154,7485,12045,0.8879,0.1659,61000,67700,2.950000048,23288,0.7982,0.5426
Gallaudet University,DC,11,R2,0,36766.06299,955,0.5706,1112,10333,0.6728,0.5775,31000,34300,3.559999943,16949,0.4717,0.2642
George Washington University,DC,11,R1,0,105591.8458,1380,0.4187,12161,14659,0.9215,0.1423,69600,82400,2.950000048,22000,0.8207,0.7384
Georgetown University,DC,11,R1,0,108786.0797,1456,0.1452,7089,15382,0.9625,0.1306,93500,125200,3.089999914,15397,0.9413,0.894
Howard University,DC,11,R2,0,58082.06399,1210,0.3159,6166,9521,0.8754,0.4437,49200,54500,4.429999828,26000,0.6243,0.4557
Delaware State University,DE,10,R2,1,52310.85628,938,0.4917,3835,8272,0.7154,0.5119,35800,38400,4.650000095,27000,0.4008,0.2593
University of Delaware,DE,10,R1,1,124857.9223,1267,0.6639,19060,12904,0.9068,0.1362,57000,64000,2.849999905,24388,0.8136,0.7223
Barry University,FL,12,R3,0,41121.03264,1006,0.9125,3368,8151,0.615,0.482,45800,50900,4.21999979,28386,0.3633,0.1929
University of Central Florida,FL,12,R1,1,47674.16748,1261,0.4253,58392,10506,0.8999,0.3901,45400,51200,2.980000019,18750,0.7254,0.4358
Florida Agricultural and Mechanical University,FL,12,R2,1,38279.04051,1097,0.3886,7711,8011,0.8148,0.6103,37600,44700,4.679999828,25728,0.5087,0.1829
Florida Atlantic University,FL,12,R2,1,44337.6853,1159,0.5932,23265,9178,0.807,0.3941,43200,48300,3.24000001,17750,0.5226,0.256
Florida Institute of Technology,FL,12,R2,0,48405.57708,1264,0.6504,3411,9694,0.8003,0.2165,56600,61200,2.880000114,27000,0.5976,0.5007
Florida International University,FL,12,R1,1,34024.0286,1185,0.5856,41777,10514,0.8921,0.4997,46300,52000,4.420000076,18000,0.5781,0.2814
Florida State University,FL,12,R1,1,66692.64316,1289,0.3678,32072,11108,0.9308,0.3116,46400,53900,3.619999886,19973,0.8288,0.6602
University of Florida,FL,12,R1,1,58287.237,1362,0.3875,34564,11608,0.9636,0.2664,56000,65700,3.269999981,16247,0.8993,0.6836
University of Miami,FL,12,R1,0,95429.35572,1365,0.3215,10873,12367,0.9165,0.1485,60100,72900,3.380000114,17511,0.8188,0.6976
University of North Florida,FL,12,R3,1,53956.38842,1195,0.6108,14223,8145,0.8125,0.2909,43200,49200,2.910000086,16467,0.5866,0.3293
Nova Southeastern University,FL,12,R2,0,48127.35838,1196,0.7854,4856,10230,0.7905,0.3994,45300,55600,3.630000114,22907,0.5025,0.394
Palm Beach Atlantic University,FL,12,R3,0,75288.73077,1126,0.9529,2400,7612,0.7539,0.2914,40600,48000,3.049999952,22250,0.5342,0.4496
University of South Florida-Main Campus,FL,12,R1,1,48536.83633,1265,0.4263,31321,10168,0.9078,0.3758,43500,48500,3.200000048,18750,0.7344,0.5515
Clark Atlanta University,GA,13,R2,0,39012.69378,1032,0.5185,3320,7467,0.7,0.6914,35500,38200,4.670000076,28500,0.4471,0.3381
Emory University,GA,13,R1,0,86143.93787,1449,0.1852,6975,14486,0.9435,0.1818,66000,84400,2.910000086,18000,0.9012,0.8274
Georgia Institute of Technology-Main Campus,GA,13,R1,1,94825.18872,1465,0.2153,15201,12727,0.9713,0.1485,79100,85900,2.960000038,23750,0.8734,0.4004
Georgia Southern University,GA,13,R2,1,65829.27121,1139,0.6767,22239,6684,0.7874,0.3697,41900,46100,3.420000076,23250,0.5049,0.2526
Georgia State University,GA,13,R1,1,41486.42533,1160,0.7137,26489,8780,0.8372,0.5031,43300,48200,3.529999971,21250,0.5426,0.2666
University of Georgia,GA,13,R1,1,83743.2887,1345,0.4863,29474,11177,0.9537,0.2181,50500,59100,2.99000001,18750,0.8574,0.6516
Mercer University,GA,13,R2,0,63938.45597,1279,0.72,4765,8639,0.8778,0.3269,48200,58200,3.109999895,25000,0.6552,0.4852
Valdosta State University,GA,13,R3,1,49340.93055,1076,0.626,8404,6651,0.6684,0.4923,38700,41600,3.24000001,25200,0.4181,0.187
University of West Georgia,GA,13,R3,1,52120.80962,1021,0.5819,10448,6431,0.7069,0.4705,38200,41700,3.029999971,25000,0.4225,0.1948
University of Hawaii at Hilo,HI,15,R3,1,42259.32242,1057,0.7863,2681,9994,0.6702,0.4806,37900,41800,4.659999847,20000,0.414,0.1878
University of Hawaii at Manoa,HI,15,R1,1,58432.10549,1155,0.8352,12609,12163,0.7899,0.2932,45800,51800,3.529999971,19450,0.5865,0.3222
Clarke University,IA,19,R3,0,76926.59179,1058,0.8248,731,6223,0.7313,0.3581,41300,44800,3.039999962,27000,0.6323,0.6065
Drake University,IA,19,R3,0,102913.2796,1278,0.6766,2952,9507,0.8805,0.1746,58300,68700,2.670000076,23823,0.7837,0.6845
Iowa State University,IA,19,R1,1,88654.33674,1219,0.906,29248,11173,0.8748,0.2113,50700,56000,2.640000105,22975,0.7472,0.4655
University of Iowa,IA,19,R1,1,88575.42142,1233,0.8267,23410,10160,0.8618,0.1964,51900,62000,2.660000086,22000,0.7321,0.5311
Boise State University,ID,16,R2,1,62341.39584,1140,0.8075,16526,8091,0.7961,0.2611,37100,43100,3.359999895,23084,0.4645,0.211
University of Idaho,ID,16,R2,1,59886.37421,1125,0.7725,7528,9346,0.8123,0.2978,41900,47000,4.239999771,23000,0.5938,0.3416
Aurora University,IL,17,R3,0,60291.36066,1068,0.8116,3944,8071,0.7442,0.4444,42700,46200,3.289999962,22250,0.5403,0.3718
University of Chicago,IL,17,R1,0,100617.132,1520,0.0726,6600,18469,0.9883,0.1089,68100,103000,3.349999905,17000,0.9423,0.8898
University of Illinois at Chicago,IL,17,R1,1,47402.62079,1145,0.7555,20435,11151,0.8001,0.5339,54300,61300,3.880000114,17400,0.5936,0.3385
Benedictine University,IL,17,R3,0,64085.52881,1110,0.6283,2692,8567,0.7264,0.4085,49000,56400,3.160000086,22500,0.4703,0.33
University of Illinois at Urbana-Champaign,IL,17,R1,1,86138.03007,1338,0.6216,32974,12525,0.9261,0.2256,61500,70900,3.140000105,19000,0.8433,0.6982
Illinois Institute of Technology,IL,17,R2,0,60579.29105,1318,0.5818,2924,12396,0.8817,0.3156,69100,78000,3.410000086,26000,0.7246,0.3722
Illinois State University,IL,17,R2,1,80963.02628,1122,0.8918,18044,8268,0.7969,0.2879,47100,51600,3.200000048,20000,0.6911,0.4691
Loyola University Chicago,IL,17,R2,0,87753.29065,1261,0.6792,11727,10639,0.8417,0.2578,54100,63500,3.230000019,25000,0.7424,0.6665
Northern Illinois University,IL,17,R2,1,56267.05053,1095,0.5438,12761,8301,0.7295,0.446,45500,49800,3.529999971,23000,0.4551,0.2395
Northwestern University,IL,17,R1,0,95373.66687,1508,0.0847,8451,17189,0.9787,0.1645,69000,93400,3.049999952,15000,0.9464,0.8402
Roosevelt University,IL,17,R3,0,50808.9131,1123,0.6485,2377,8439,0.6897,0.4395,43600,47700,4.349999905,23014,0.3895,0.264
University of St Francis,IL,17,R3,0,69402.39694,1129,0.4678,1590,7825,0.7973,0.3577,53100,56500,3.25999999,23740,0.6182,0.3818
Southern Illinois University-Carbondale,IL,17,R2,1,53426.48811,1124,0.7185,9447,7652,0.6952,0.3893,42900,49500,3.910000086,21500,0.4144,0.2551
Southern Illinois University-Edwardsville,IL,17,R3,1,63790.22595,1156,0.8744,10786,8023,0.7415,0.3465,43000,50800,3.309999943,21250,0.4875,0.259
Trinity International University-Illinois,IL,17,R3,0,57731.86561,1095,0.7303,699,7707,0.6211,0.3522,41100,45400,3.559999943,25000,0.4586,0.3758
Indiana University-Purdue University-Indianapolis,IN,18,R2,1,59530.64636,1111,0.8112,20651,8512,0.7335,0.3619,42500,50700,2.900000095,22343,0.4747,0.2434
University of Indianapolis,IN,18,R3,0,67369.71119,1098,0.6891,4487,7501,0.7457,0.3507,40600,46100,2.910000086,26730,0.6034,0.4714
Indiana State University,IN,18,R3,1,53191.08959,1019,0.8991,10348,7455,0.6478,0.425,39000,42600,3.410000086,23500,0.4078,0.2574
Indiana University-Bloomington,IN,18,R1,1,98551.58278,1275,0.7691,32991,10467,0.9112,0.1853,47700,57800,2.769999981,20500,0.7796,0.6398
University of Notre Dame,IN,18,R1,0,134386.611,1502,0.1771,8568,14355,0.9805,0.1061,78400,98400,2.920000076,19000,0.9696,0.9148
Valparaiso University,IN,18,R3,0,82939.04983,1204,0.8931,3170,7612,0.8124,0.2897,48500,54400,2.920000076,27000,0.71,0.6307
Purdue University-Main Campus,IN,18,R1,1,98016.6576,1309,0.5798,33495,12418,0.9149,0.1661,55100,62200,2.869999886,19500,0.8061,0.5536
Baker University,KS,20,R3,0,69310.93467,1126,0.8765,1436,6309,0.749,0.1654,51300,59500,2.50999999,25000,0.5891,0.4158
University of Kansas,KS,20,R1,1,84380.18947,1250,0.9171,19135,10156,0.8346,0.2182,48800,59300,2.5,21105,0.6478,0.4705
Kansas State University,KS,20,R1,1,79635.28279,1160,0.934,17611,9106,0.8487,0.2337,45600,51900,2.579999924,22250,0.6397,0.34
Wichita State University,KS,20,R2,1,56221.41577,1152,0.965,11148,7873,0.7279,0.3354,40400,45400,3.089999914,21625,0.4703,0.209
Bellarmine University,KY,21,R3,0,80285.09942,1211,0.8584,2488,8025,0.7557,0.259,45700,50600,2.670000076,25000,0.6733,0.5644
University of the Cumberlands,KY,21,R3,0,50317.12615,1141,0.733,2408,5193,0.6237,0.3376,35100,38200,3.430000067,17082,0.3268,0.2331
University of Kentucky,KY,21,R1,1,81686.00316,1239,0.9448,21746,10688,0.8392,0.2381,45100,54000,2.99000001,23102,0.6616,0.4419
University of Louisville,KY,21,R1,1,65847.18474,1227,0.7243,14488,8724,0.8048,0.287,41800,48600,3.059999943,20534,0.5654,0.3211
Northern Kentucky University,KY,21,R3,1,60076.9257,1148,0.8926,10201,7676,0.7061,0.3079,37500,41800,2.650000095,24484,0.4248,0.2192
Spalding University,KY,21,R3,0,50726.18825,1065,0.9595,955,7393,0.6952,0.408,45100,48300,3.349999905,25000,0.386,0.2281
Western Kentucky University,KY,21,R3,1,55892.33761,1162,0.9721,13959,7424,0.7068,0.3065,34700,38600,3.380000114,23100,0.4456,0.3176
Louisiana State University and Agricultural & Mechanical College,LA,22,R1,1,77315.33372,1242,0.7423,23468,10192,0.8336,0.2037,50100,60100,3.650000095,20250,0.6657,0.3884
Louisiana Tech University,LA,22,R2,1,62719.89788,1219,0.6307,8192,7893,0.791,0.2259,41500,49200,4.519999981,20876,0.5363,0.347
Loyola University New Orleans,LA,22,R3,0,87667.95332,1192,0.9431,2868,8583,0.8259,0.3211,47100,52300,3.420000076,26538,0.6104,0.5168
University of New Orleans,LA,22,R2,1,44744.91855,1136,0.5726,5909,7979,0.6696,0.3606,37800,43500,4.050000191,18200,0.3683,0.1795
University of Louisiana at Monroe,LA,22,R3,1,49753.40717,1135,0.7101,6293,7372,0.7171,0.347,37500,46300,4.789999962,21250,0.4375,0.2284
University of Louisiana at Lafayette,LA,22,R2,1,59163.2577,1202,0.5599,14245,8337,0.7486,0.3365,39900,46400,4.340000153,20750,0.4821,0.192
Tulane University of Louisiana,LA,22,R1,0,106022.9412,1428,0.1733,7920,11783,0.9369,0.1229,61700,86300,3.349999905,22022,0.8536,0.7492
Boston College,MA,25,R1,0,132356.5602,1429,0.2789,9639,15323,0.9496,0.1344,72500,92500,2.880000114,16939,0.919,0.8831
Boston University,MA,25,R1,0,105821.886,1420,0.2209,17238,14136,0.9375,0.1483,65300,75900,2.900000095,25000,0.8817,0.8357
Brandeis University,MA,25,R1,0,97039.16253,1398,0.3115,3627,13176,0.9302,0.1755,57900,69000,3,26852,0.8805,0.8012
Harvard University,MA,25,R1,0,62458.19385,1520,0.0473,7582,20484,0.9871,0.1088,89700,139100,3.460000038,13875,0.9771,0.867
Lesley University,MA,25,R3,0,75544.00714,1128,0.7572,2108,8681,0.8022,0.2333,38700,40500,3.00999999,23131,0.6103,0.4683
University of Massachusetts-Lowell,MA,25,R2,1,73806.19311,1240,0.7183,13385,11606,0.8563,0.2719,53300,57200,2.779999971,25000,0.6292,0.3787
University of Massachusetts-Amherst,MA,25,R1,1,92110.46095,1302,0.5992,23202,12254,0.9068,0.2405,51400,57700,2.799999952,23250,0.7982,0.7073
Massachusetts Institute of Technology,MA,25,R1,0,86738.81698,1545,0.0674,4550,18852,0.9864,0.1798,104700,153600,3.220000029,12500,0.9416,0.8515
Northeastern University,MA,25,R1,0,105958.1464,1466,0.1934,13760,13158,0.9666,0.121,67400,74200,2.859999895,25000,0.8812,0
Simmons University,MA,25,R3,0,85507.23973,1228,0.6972,1790,8124,0.8127,0.2662,55800,58400,2.809999943,25000,0.8005,0.7631
University of Massachusetts-Dartmouth,MA,25,R2,1,65441.11384,1093,0.7754,6649,10873,0.7261,0.3967,48200,51500,3.130000114,25763,0.5627,0.3723
Tufts University,MA,25,R1,0,109816.5165,1461,0.1462,5597,12396,0.961,0.1198,75800,103300,3.059999943,16500,0.9258,0.8669
Western New England University,MA,25,R3,0,95364.04846,1160,0.8537,2746,9385,0.7824,0.2738,54900,61300,2.900000095,26000,0.6033,0.5239
Johns Hopkins University,MD,24,R1,0,104767.6974,1513,0.1148,5567,13332,0.9708,0.1329,73200,89300,3.039999962,15500,0.9299,0.8699
University of Maryland-Baltimore County,MD,24,R2,1,66965.76746,1274,0.5794,11156,9869,0.877,0.2986,55000,59600,2.74000001,21000,0.6839,0.437
University of Maryland-College Park,MD,24,R1,1,91754.20584,1390,0.4716,30184,13045,0.9538,0.1915,62900,70800,2.730000019,19000,0.8618,0.7033
University of Maryland Eastern Shore,MD,24,R2,1,47921.19899,960,0.5411,2538,8202,0.6359,0.5405,36600,40400,4.260000229,28000,0.3855,0.2063
Morgan State University,MD,24,R2,1,50700.81644,998,0.6625,6404,8742,0.7357,0.5241,40500,42600,4.489999771,30500,0.3894,0.1298
Towson University,MD,24,R3,1,78617.18338,1131,0.79,19623,7347,0.8495,0.2992,50800,55100,2.710000038,19302,0.7264,0.4703
University of Maine,ME,23,R2,1,77614.18543,1156,0.9234,8861,9486,0.765,0.3104,42500,48300,3.140000105,25500,0.6027,0.4015
University of New England,ME,23,R2,0,93069.5491,1146,0.7982,2379,8888,0.7675,0.1289,46300,51000,2.75999999,25989,0.625,0.5916
Andrews University,MI,26,R3,0,69266.02128,1182,0.6554,1466,4951,0.8504,0.2467,45200,47800,3.380000114,26500,0.5794,0.3564
Central Michigan University,MI,26,R2,1,70473.80053,1115,0.6884,16157,9350,0.7706,0.3433,41900,46200,3.410000086,27000,0.6164,0.278
University of Detroit Mercy,MI,26,R3,0,64499.89911,1163,0.8298,2754,9435,0.8496,0.3,47100,53700,4.369999886,23500,0.6534,0.5282
Eastern Michigan University,MI,26,R2,1,51653.09397,1025,0.757,15325,9744,0.7163,0.4122,39300,43900,3.359999895,26000,0.4511,0.1663
Ferris State University,MI,26,R3,1,54739.40961,1070,0.809,11008,9084,0.777,0.372,44500,49600,3.829999924,21591,0.4895,0.3044
University of Michigan-Ann Arbor,MI,26,R1,1,93277.93327,1434,0.2283,30079,11622,0.972,0.1626,63400,79000,3.079999924,16606,0.9189,0.7905
Michigan State University,MI,26,R1,1,89132.74708,1224,0.7768,39208,11802,0.9148,0.219,53600,63200,3.180000067,25000,0.7995,0.5347
Michigan Technological University,MI,26,R2,1,87795.5038,1272,0.7388,5736,10344,0.8344,0.2531,66400,66800,3.450000048,25079,0.6843,0.3122
University of Michigan-Flint,MI,26,R3,1,47434.12427,1097,0.6626,5343,9077,0.7482,0.3949,40600,44500,3.880000114,27000,0.4632,0.1453
Oakland University,MI,26,R2,1,61169.97586,1145,0.8391,15476,9452,0.765,0.3151,43100,48100,3.210000038,25000,0.5528,0.2624
Wayne State University,MI,26,R1,1,45228.57566,1127,0.7115,17114,10622,0.7978,0.442,40800,52300,4.650000095,22500,0.4696,0.1843
Western Michigan University,MI,26,R2,1,67159.60582,1107,0.811,17519,9972,0.7906,0.3424,45000,50500,3.220000029,26000,0.5263,0.2323
Bethel University,MN,27,R3,0,93140.14863,1216,0.7051,2723,7705,0.8506,0.2567,47300,52600,2.460000038,21500,0.7662,0.6797
University of Minnesota-Twin Cities,MN,27,R1,1,91158.57588,1336,0.5187,31451,11927,0.9296,0.186,51900,61200,2.779999971,19500,0.8019,0.6547
The College of Saint Scholastica,MN,27,R3,0,69686.36735,1150,0.6618,2457,7050,0.8011,0.3102,51400,56000,3.450000048,20262,0.6933,0.6113
University of St Thomas,MN,27,R3,0,118624.0997,1269,0.8039,6344,10549,0.8707,0.1813,56800,62900,2.49000001,24748,0.7727,0.6438
St Catherine University,MN,27,R3,0,59053.5969,1124,0.7325,3238,7233,0.7955,0.3974,49200,51100,2.849999905,26704,0.5628,0.4677
Lindenwood University,MO,29,R3,0,62517.98064,1117,0.8811,6458,7552,0.7188,0.3287,41300,47000,3.200000048,27000,0.5019,0.3291
Maryville University of Saint Louis,MO,29,R3,0,72181.10752,1146,0.945,3609,8278,0.8445,0.2626,47200,51100,2.809999943,24250,0.7213,0.5718
University of Missouri-Columbia,MO,29,R1,1,96072.73457,1244,0.7784,22030,9636,0.872,0.1916,48300,56600,2.869999886,22000,0.6902,0.4588
University of Missouri-Kansas City,MO,29,R2,1,57335.29934,1204,0.5648,7681,9041,0.7393,0.2578,45700,57200,3.150000095,19500,0.4886,0.2271
Missouri University of Science and Technology,MO,29,R2,1,77345.09516,1313,0.8416,6785,10628,0.8231,0.2552,71200,72400,3.049999952,24750,0.6272,0.2285
University of Missouri-St Louis,MO,29,R2,1,45677.8112,1179,0.7255,7136,8675,0.7526,0.2348,42900,49200,3.619999886,20750,0.5208,0.317
Saint Louis University,MO,29,R2,0,101081.3123,1304,0.5753,6917,10385,0.899,0.1392,56500,64900,3.039999962,24988,0.7713,0.691
Missouri State University-Springfield,MO,29,R3,1,63829.27791,1169,0.8497,16948,7426,0.7746,0.293,39300,44500,3.039999962,22688,0.5446,0.2992
Washington University in St Louis,MO,29,R1,0,119063.2369,1506,0.1503,7356,14960,0.9669,0.1165,70100,87900,3.039999962,16075,0.9485,0.8759
William Woods University,MO,29,R3,0,64608.05611,1130,0.6391,889,5314,0.7573,0.3211,36500,40300,2.829999924,20500,0.5821,0.4792
